# dataset=strongs/glosses; lang=eng; source=strongs_gloss(lexicon)+llm_strongs_glosses(llm); license=see resources/strongs/README.md; date=2026-06-20
strong	lemma	gloss	methods	sources
G0001	ἄλφα	Alpha	lexicon	stepbible
G0002	Ἀαρών	Aaron	lexicon	stepbible
G0003	Ἀβαδδών	Abaddon	lexicon	stepbible
G0004	ἀβαρής	not burdensome	lexicon	stepbible
G0005	ἀββά	Abba	lexicon	stepbible
G0006	Ἂβελ	Abel	lexicon	stepbible
G0007	Ἀβιά	Abijah	lexicon	stepbible
G0008	Ἀβιαθάρ	Abiathar	lexicon	stepbible
G0009	Ἀβειληνή	Abilene	lexicon	stepbible
G0010	Ἀβιούδ	Abiud	lexicon	stepbible
G0011	Ἀβραάμ	Abraham	lexicon	stepbible
G0012	ἄβυσσος	abyss	lexicon	stepbible
G0013	Ἅγαβος	Agabus	lexicon	stepbible
G0014	ἀγαθοεργέω	do good	lexicon	stepbible
G0015	ἀγαθοποιέω	do good	lexicon	stepbible
G0016	ἀγαθοποιΐα	doing good	lexicon	stepbible
G0017	ἀγαθοποιός	doing good	lexicon	stepbible
G0018	ἀγαθός	good	lexicon	stepbible
G0019	ἀγαθωσύνη	goodness	lexicon	stepbible
G0020	ἀγαλλίασις	joy	lexicon	stepbible
G0021	ἀγαλλιάω	rejoice	lexicon	stepbible
G0022	ἄγαμος	unmarried	lexicon	stepbible
G0023	ἀγανακτέω	be indignant	lexicon	stepbible
G0024	ἀγανάκτησις	indignation	lexicon	stepbible
G0025	ἀγαπάω	love	lexicon	stepbible
G0026	ἀγάπη	love	lexicon	stepbible
G0027	ἀγαπητός	beloved	lexicon	stepbible
G0028	Ἁγάρ	Hagar	lexicon	stepbible
G0029	ἀγγαρεύω	force	lexicon	stepbible
G0030	ἀγγεῖον	jar	lexicon	stepbible
G0031	ἀγγελία	message	lexicon	stepbible
G0032	ἄγγελος	angel	lexicon	stepbible
G0033		lead	lexicon	stepbible
G0034	ἀγέλη	herd	lexicon	stepbible
G0035	ἀγενεαλόγητος	without genealogy	lexicon	stepbible
G0036	ἀγενής	lowly	lexicon	stepbible
G0037	ἁγιάζω	sanctify	lexicon	stepbible
G0038	ἁγιασμός	holiness	lexicon	stepbible
G0039		Holy Place	lexicon	stepbible
G0040	ἅγιος	holy	lexicon	stepbible
G0041	ἁγιότης	holiness	lexicon	stepbible
G0042	ἁγιωσύνη	holiness	lexicon	stepbible
G0043	ἀγκάλη	arm	lexicon	stepbible
G0044	ἄγκιστρον	fishhook	lexicon	stepbible
