# dataset=strongs/surfaces; lang=por; source=clear-alignments (github.com/Clear-Bible/Alignments); base_text=JFA11; license=see resources/strongs/README.md; date=2026-06-20
strong	lemma	surface	count	share	methods	review
G3588	ὁ	a	1044	0.481	transfer	machine
G1519	εἰς	a	128	0.059	transfer	machine
G0846	αὐτός	a	86	0.040	transfer	machine
G4314	πρός	a	83	0.038	transfer	machine
G4675	σύ	a	39	0.018	transfer	machine
G5216	σύ	a	36	0.017	transfer	machine
G3450	ἐγώ	a	29	0.013	transfer	machine
G0848	ἑαυτοῦ	a	26	0.012	transfer	machine
G2532	καί	a	22	0.010	transfer	machine
G2257	ἐγώ	a	22	0.010	transfer	machine
G5590	ψυχή	a	19	0.009	transfer	machine
G3056	λόγος	a	19	0.009	transfer	machine
G5213	σύ	a	18	0.008	transfer	machine
G1909	ἐπί	a	17	0.008	transfer	machine
G2222	ζωή	a	17	0.008	transfer	machine
G2776	κεφαλή	a	12	0.006	transfer	machine
G4671	σύ	a	12	0.006	transfer	machine
G1438	ἑαυτοῦ	a	11	0.005	transfer	machine
G1691	ἐγώ	a	11	0.005	transfer	machine
G3956	πᾶς	a	10	0.005	transfer	machine
G3739	ὅς	a	10	0.005	transfer	machine
G1722	ἐν	a	9	0.004	transfer	machine
G0026	ἀγάπη	a	9	0.004	transfer	machine
G4571	σύ	a	8	0.004	transfer	machine
G1186	δένδρον	a	7	0.003	transfer	machine
G1699	ἐμός	a	7	0.003	transfer	machine
G5209	σύ	a	6	0.003	transfer	machine
G3004	λέγω	a	6	0.003	transfer	machine
G2254	ἐγώ	a	6	0.003	transfer	machine
G0191	ἀκούω	a	6	0.003	transfer	machine
G4561	σάρξ	a	6	0.003	transfer	machine
G0235	ἀλλά	a	5	0.002	transfer	machine
G3798	ὄψιος	a	5	0.002	transfer	machine
G1698	ἐγώ	a	5	0.002	transfer	machine
G2248	ἐγώ	a	5	0.002	transfer	machine
G4991	σωτηρία	a	5	0.002	transfer	machine
G4678	σοφία	a	4	0.002	transfer	machine
G1325	δίδωμι	a	4	0.002	transfer	machine
G1391	δόξα	a	4	0.002	transfer	machine
G2036	λέγω	a	4	0.002	transfer	machine
G1135	γυνή	a	4	0.002	transfer	machine
G1096	γίνομαι	a	4	0.002	transfer	machine
G0225	ἀλήθεια	a	4	0.002	transfer	machine
G3754	ὅτι	a	4	0.002	transfer	machine
G2596	κατά	a	4	0.002	transfer	machine
G5010	τάξις	a	4	0.002	transfer	machine
G3767	οὖν	a	3	0.001	transfer	machine
G2064	ἔρχομαι	a	3	0.001	transfer	machine
G1565	ἐκεῖνος	a	3	0.001	transfer	machine
G3187	μείζων	a	3	0.001	transfer	machine
G4012	περί	a	3	0.001	transfer	machine
G4160	ποιέω	a	3	0.001	transfer	machine
G3748	ὅστις	a	3	0.001	transfer	machine
G0142	αἴρω	a	3	0.001	transfer	machine
G1161	δέ	a	3	0.001	transfer	machine
G1411	δύναμις	a	3	0.001	transfer	machine
G4352	προσκυνέω	a	3	0.001	transfer	machine
G3844	παρά	a	3	0.001	transfer	machine
G5456	φωνή	a	3	0.001	transfer	machine
G5087	τίθημι	a	3	0.001	transfer	machine
G0444	ἄνθρωπος	a	3	0.001	transfer	machine
G3772	οὐρανός	a	3	0.001	transfer	machine
G3650	ὅλος	a	3	0.001	transfer	machine
G2980	λαλέω	a	3	0.001	transfer	machine
G2076	εἰμί	a	3	0.001	transfer	machine
G2937	κτίσις	a	3	0.001	transfer	machine
G5613	ὡς	a	3	0.001	transfer	machine
G3756	οὐ	a	3	0.001	transfer	machine
G3361	μή	a	3	0.001	transfer	machine
G1063	γάρ	a	2	0.001	transfer	machine
G4597	σής	a	2	0.001	transfer	machine
G1028	βροχή	a	2	0.001	transfer	machine
G1994	ἐπιστρέφω	a	2	0.001	transfer	machine
G4487	ῥῆμα	a	2	0.001	transfer	machine
G3793	ὄχλος	a	2	0.001	transfer	machine
G2008	ἐπιτιμάω	a	2	0.001	transfer	machine
G1537	ἐκ	a	2	0.001	transfer	machine
G5180	τύπτω	a	2	0.001	transfer	machine
G3326	μετά	a	2	0.001	transfer	machine
G2193	ἕως	a	2	0.001	transfer	machine
G1321	διδάσκω	a	2	0.001	transfer	machine
G4802	συνζητέω	a	2	0.001	transfer	machine
G2258	εἰμί	a	2	0.001	transfer	machine
G0622	ἀπόλλυμι	a	2	0.001	transfer	machine
G0591	ἀποδίδωμι	a	2	0.001	transfer	machine
G4383	πρόσωπον	a	2	0.001	transfer	machine
G1448	ἐγγίζω	a	2	0.001	transfer	machine
G2398	ἴδιος	a	2	0.001	transfer	machine
G3404	μισέω	a	2	0.001	transfer	machine
G0575	ἀπό	a	2	0.001	transfer	machine
G4172	πόλις	a	2	0.001	transfer	machine
G5457	φῶς	a	2	0.001	transfer	machine
G3825	πάλιν	a	2	0.001	transfer	machine
G2443	ἵνα	a	2	0.001	transfer	machine
G2192	ἔχω	a	2	0.001	transfer	machine
G1473	ἐγώ	a	2	0.001	transfer	machine
G1905	ἐπερωτάω	a	2	0.001	transfer	machine
G1124	γραφή	a	2	0.001	transfer	machine
G5126	οὗτος	a	2	0.001	transfer	machine
G3870	παρακαλέω	a	2	0.001	transfer	machine
G1577	ἐκκλησία	a	2	0.001	transfer	machine
G3303	μέν	a	2	0.001	transfer	machine
G3343	μεταπέμπω	a	2	0.001	transfer	machine
G4052	περισσεύω	a	2	0.001	transfer	machine
G5607	εἰμί	a	2	0.001	transfer	machine
G4690	σπέρμα	a	2	0.001	transfer	machine
G1343	δικαιοσύνη	a	2	0.001	transfer	machine
G4138	πλήρωμα	a	2	0.001	transfer	machine
G2249	ἐγώ	a	2	0.001	transfer	machine
G1093	γῆ	a	2	0.001	transfer	machine
G1860	ἐπαγγελία	a	2	0.001	transfer	machine
G0746	ἀρχή	a	2	0.001	transfer	machine
G2787	κιβωτός	a	2	0.001	transfer	machine
G0659	ἀποτίθημι	a	2	0.001	transfer	machine
G2455	Ἰούδας	a	1	0.000	transfer	machine
G2307	θέλημα	a	1	0.000	transfer	machine
G3126	μαμωνᾶς	a	1	0.000	transfer	machine
G2657	κατανοέω	a	1	0.000	transfer	machine
G0928	βασανίζω	a	1	0.000	transfer	machine
G4374	προσφέρω	a	1	0.000	transfer	machine
G3693	ὄπισθεν	a	1	0.000	transfer	machine
G3162	μάχαιρα	a	1	0.000	transfer	machine
G5089	τίλλω	a	1	0.000	transfer	machine
G5124	οὗτος	a	1	0.000	transfer	machine
G2478	ἰσχυρός	a	1	0.000	transfer	machine
G2588	καρδία	a	1	0.000	transfer	machine
G2347	θλῖψις	a	1	0.000	transfer	machine
G1375	διωγμός	a	1	0.000	transfer	machine
G2670	καταποντίζω	a	1	0.000	transfer	machine
G0680	ἅπτω	a	1	0.000	transfer	machine
G5451	φυτεία	a	1	0.000	transfer	machine
G0922	βάρος	a	1	0.000	transfer	machine
G3688	ὄνος	a	1	0.000	transfer	machine
G4693	σπήλαιον	a	1	0.000	transfer	machine
G4444	πύργος	a	1	0.000	transfer	machine
G2564	καλέω	a	1	0.000	transfer	machine
G4095	πίνω	a	1	0.000	transfer	machine
G3568	νῦν	a	1	0.000	transfer	machine
G2653	καταθεματίζω	a	1	0.000	transfer	machine
G1531	εἰσπορεύομαι	a	1	0.000	transfer	machine
G5217	ὑπάγω	a	1	0.000	transfer	machine
G1684	ἐμβαίνω	a	1	0.000	transfer	machine
G5108	τοιοῦτος	a	1	0.000	transfer	machine
G4190	πονηρός	a	1	0.000	transfer	machine
G0988	βλασφημία	a	1	0.000	transfer	machine
G3089	λύω	a	1	0.000	transfer	machine
G2007	ἐπιτίθημι	a	1	0.000	transfer	machine
G1832	ἔξεστι(ν)	a	1	0.000	transfer	machine
G5342	φέρω	a	1	0.000	transfer	machine
G0080	ἀδελφός	a	1	0.000	transfer	machine
G2708	καταχέω	a	1	0.000	transfer	machine
G1568	ἐκθαμβέω	a	1	0.000	transfer	machine
G0565	ἀπέρχομαι	a	1	0.000	transfer	machine
G0851	ἀφαιρέω	a	1	0.000	transfer	machine
G4815	συνλαμβάνω	a	1	0.000	transfer	machine
G1716	ἐμπτύω	a	1	0.000	transfer	machine
G1057	Γαλιλαῖος	a	1	0.000	transfer	machine
G4686	σπεῖρα	a	1	0.000	transfer	machine
G3877	παρακολουθέω	a	1	0.000	transfer	machine
G1162	δέησις	a	1	0.000	transfer	machine
G3170	μεγαλύνω	a	1	0.000	transfer	machine
G2090	ἑτοιμάζω	a	1	0.000	transfer	machine
G1260	διαλογίζομαι	a	1	0.000	transfer	machine
G4412	πρῶτον	a	1	0.000	transfer	machine
G3495	νεανίσκος	a	1	0.000	transfer	machine
G1988	ἐπιστάτης	a	1	0.000	transfer	machine
G2784	κηρύσσω	a	1	0.000	transfer	machine
G2390	ἰάομαι	a	1	0.000	transfer	machine
G1209	δέχομαι	a	1	0.000	transfer	machine
G4198	πορεύω	a	1	0.000	transfer	machine
G0303	ἀνά	a	1	0.000	transfer	machine
G5100	τις	a	1	0.000	transfer	machine
G1171	δεινῶς	a	1	0.000	transfer	machine
G4626	σκάπτω	a	1	0.000	transfer	machine
G1210	δέω	a	1	0.000	transfer	machine
G2476	ἵστημι	a	1	0.000	transfer	machine
G5302	ὑστερέω	a	1	0.000	transfer	machine
G0979	βίος	a	1	0.000	transfer	machine
G1100	γλῶσσα	a	1	0.000	transfer	machine
G1415	δυνατός	a	1	0.000	transfer	machine
G2050	ἐρήμωσις	a	1	0.000	transfer	machine
G0375	ἀναπέμπω	a	1	0.000	transfer	machine
G0859	ἄφεσις	a	1	0.000	transfer	machine
G0071	ἄγω	a	1	0.000	transfer	machine
G1249	διάκονος	a	1	0.000	transfer	machine
G1208	δεύτερος	a	1	0.000	transfer	machine
G4077	πηγή	a	1	0.000	transfer	machine
G3022	λευκός	a	1	0.000	transfer	machine
G5257	ὑπηρέτης	a	1	0.000	transfer	machine
G2955	κύπτω	a	1	0.000	transfer	machine
G1831	ἐξέρχομαι	a	1	0.000	transfer	machine
G1492	οἶδα	a	1	0.000	transfer	machine
G2065	ἐρωτάω	a	1	0.000	transfer	machine
G5127	οὗτος	a	1	0.000	transfer	machine
G1849	ἐξουσία	a	1	0.000	transfer	machine
G0166	αἰώνιος	a	1	0.000	transfer	machine
G1173	δεῖπνον	a	1	0.000	transfer	machine
G1591	ἐκμάσσω	a	1	0.000	transfer	machine
G2999	λατρεία	a	1	0.000	transfer	machine
G5048	τελειόω	a	1	0.000	transfer	machine
G0749	ἀρχιερεύς	a	1	0.000	transfer	machine
G3904	παρασκευή	a	1	0.000	transfer	machine
G5368	φιλέω	a	1	0.000	transfer	machine
G0450	ἀνίστημι	a	1	0.000	transfer	machine
G5129	οὗτος	a	1	0.000	transfer	machine
G1488	εἰμί	a	1	0.000	transfer	machine
G2097	εὐαγγελίζω	a	1	0.000	transfer	machine
G2597	καταβαίνω	a	1	0.000	transfer	machine
G0165	αἰών	a	1	0.000	transfer	machine
G5463	χαίρω	a	1	0.000	transfer	machine
G4413	πρῶτος	a	1	0.000	transfer	machine
G3624	οἶκος	a	1	0.000	transfer	machine
G0455	ἀνοίγω	a	1	0.000	transfer	machine
G2507	καθαιρέω	a	1	0.000	transfer	machine
G1097	γινώσκω	a	1	0.000	transfer	machine
G3341	μετάνοια	a	1	0.000	transfer	machine
G5128	οὗτος	a	1	0.000	transfer	machine
G4128	πλῆθος	a	1	0.000	transfer	machine
G3195	μέλλω	a	1	0.000	transfer	machine
G0627	ἀπολογία	a	1	0.000	transfer	machine
G3480	Ναζωραῖος	a	1	0.000	transfer	machine
G4441	πυνθάνομαι	a	1	0.000	transfer	machine
G2092	ἕτοιμος	a	1	0.000	transfer	machine
